image,name,price,supermarket_name,category
https://metroio.vtexassets.com/arquivos/ids/395700-144-144?v=638180785209600000&width=144&height=144&aspect=true,Tripack Jabón en Barra Dove Baby Humectación Sensible 75g ,S/ 10.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/502741-144-144?v=638375826175170000&width=144&height=144&aspect=true,Tripack Pañales para Bebé Pampers Premium Care Talla G 72un ,S/ 285.30 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/494521-144-144?v=638338527756800000&width=144&height=144&aspect=true,PLAYSET COCINA ARMABLE ,S/ 35.96 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/515066-144-144?v=638451921908430000&width=144&height=144&aspect=true,Shampoo Ammens Manzanilla Frascojín 400ml ,S/ 18.80 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/512396-144-144?v=638430214787100000&width=144&height=144&aspect=true,Galletas Gerber Nutri Puffs Fresa y Plátano 42g ,S/ 19.50 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/461566-144-144?v=638285967069970000&width=144&height=144&aspect=true,Pañales para Bebé para Piscina Pampers Splashers Talla G 11un ,S/ 15.50 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/405151-144-144?v=638181137629570000&width=144&height=144&aspect=true,Calzoncitos para Nadar Huggies Little Swimmers ,S/ 22.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/494512-144-144?v=638338527717700000&width=144&height=144&aspect=true,DINOSAURIO RC MOD1 ,S/ 55.96 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/483890-144-144?v=638319929511970000&width=144&height=144&aspect=true,Twopack Toallitas Húmedas Huggies Classic 80un ,S/ 11.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/375772-144-144?v=638180589979030000&width=144&height=144&aspect=true,Pañales para Bebé Huggies Active Sec Talla G 70un ,S/ 61.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/323390-144-144?v=638180567298670000&width=144&height=144&aspect=true,Tripack Jabón para Bebé Johnson's Avena 110g ,S/ 16.40 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/366312-144-144?v=638180585156770000&width=144&height=144&aspect=true,Toallitas Húmedas para Bebés WaterWipes 180un ,S/ 51.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/300822-144-144?v=638179472974000000&width=144&height=144&aspect=true,Pañales para Bebé Pampers Premium Care Talla P 36un ,S/ 36.20 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/417703-144-144?v=638279357136270000&width=144&height=144&aspect=true,Toallitas Húmedas Huggies Manitos y Carita 80un ,S/ 9.50 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/407881-144-144?v=638181166305930000&width=144&height=144&aspect=true,Pañales para Bebé Babysec Super Premium Talla P 56un ,S/ 40.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/444329-144-144?v=638284455449200000&width=144&height=144&aspect=true,Twopack Pañales para Bebé Pampers Premium Care Talla XG 68un ,S/ 176.50 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/249143-144-144?v=638173949683030000&width=144&height=144&aspect=true,Pañales Huggies Natural Care Puro y Natural Talla RN 20un ,S/ 15.80 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/396313-144-144?v=638180789553370000&width=144&height=144&aspect=true,Jabón Líquido Dove Baby Hidratante 400ml ,S/ 27.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/388393-144-144?v=638180599290730000&width=144&height=144&aspect=true,Pañales para Bebé Huggies Triple Protección Talla G 80un ,S/ 55.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/453519-144-144?v=638285249843670000&width=144&height=144&aspect=true,Twopack Toallitas Húmedas Zeukids Baby Care 100un ,S/ 21.50 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/354476-144-144?v=638180580307700000&width=144&height=144&aspect=true,Pañales para Playa y Piscina Huggies Little Swimmers M 11un ,S/ 19.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/494523-144-144?v=638338527764800000&width=144&height=144&aspect=true,PLAYSET DOCTOR ARMABLE ,S/ 35.96 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/395504-144-144?v=638180784036700000&width=144&height=144&aspect=true,Pañales para Bebé Zeukid Baby Care Talla XXG 44un ,S/ 42.10 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/458138-144-144?v=638285747071670000&width=144&height=144&aspect=true,Pañales para Bebé Zeu Kids Talla XG 72un ,S/ 58.40 ,metro,Cuidado del Bebe
