image,product_brand,name,price,supermarket_name,category
https://plazavea.vteximg.com.br/arquivos/ids/27363436-184-184/94791.jpg?v=638276833502870000,EL BUEN CORTE,Bife Ancho de Res EL BUEN CORTE,S/ 48.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/27363452-184-184/20078846.jpg?v=638276833918200000,EL BUEN CORTE,Bife Parrillero de Res EL BUEN CORTE,S/ 49.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/1588323-184-184/20234613.jpg?v=637562949046130000,SAN FERNANDO,Panceta en Tiras sin Hueso y sin Piel SAN FERN...,S/ 43.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/1588320-184-184/20234615.jpg?v=637562947967670000,SAN FERNANDO,Panceta en Tiras con Hueso y con Piel SAN FERN...,S/ 37.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/1588321-184-184/20234614.jpg?v=637562948442200000,SAN FERNANDO,Panceta en Tiras con Hueso y sin Piel SAN FERN...,S/ 38.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/1588322-184-184/20234612.jpg?v=637562948699670000,SAN FERNANDO,Panceta en Tiras sin Hueso y con Piel SAN FERN...,S/ 40.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/27363516-184-184/20168635.jpg?v=638276835741900000,EL BUEN CORTE,Guiso Tierno de Res EL BUEN CORTE,S/ 27.90 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/19995923-184-184/287623.jpg?v=638017641768330000,PLAZA VEA,Pescado Bonito Entero Fresco,S/ 4.99 x kg,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/730626-184-184/20189343.jpg?v=637479647828600000,BELL'S,Langostinos Precocidos BELL'S Bolsa 300g,S/ 23.50 un,plazavea,"Carnes, aves y pescados"
https://plazavea.vteximg.com.br/arquivos/ids/518414-184-184/73950.jpg?v=637417675282100000,PLAZA VEA,Churrasco Redondo de Res,S/ 36.90 x kg,plazavea,"Carnes, aves y pescados"
